Month,Year,Date,Confirmed Cases (Cumulative),Confirmed Cases: Daily Change,Active Cases (As of Date),Recovered Cases (Cumulative),In Hospital (As of Date),In Hospital: Daily Change,In Intensive Care (As of Date),In Intensive Care: Daily Change,Deaths (Cumulative),Deaths: Daily Change,Test Count: Edmonton,Test Count: Alberta,Test Percentage,Test Positivity Rate,Hospitalization Rate,Rate of Cases: Edmonton
,,,,0,75,418,,,,,12,0,514,2883,18,0,0.2,
,,,,2,71,425,12,,,,12,0,952,4136,23,0.32,0.2,
,,,,0,69,428,10,-2,,,12,0,984,3781,26,0,0.2,
,,,,2,65,432,9,-1,,,12,0,1167,4214,28,0.6,0.1,
,,,,4,62,437,9,0,,,12,0,1052,3259,32,0.76,0.1,
,,,,0,60,436,9,0,,,12,0,796,2794,28,0.13,0,
,,,,2,61,439,8,-1,,,12,0,1025,3756,27,0.49,0,
,,,,2,63,441,7,-1,2,,12,0,1081,4409,25,0.46,0,
,,,,0,61,444,9,2,2,0,12,0,1264,4769,27,0.55,0,
,,,,1,60,446,8,-1,2,0,12,0,838,4701,18,0.84,0,
,,,,1,60,446,8,0,3,1,12,0,722,3986,18,0.14,0,
,,,,0,58,448,9,1,3,0,12,0,972,3189,30,0.41,0.1,
,,,,0,58,448,9,0,2,-1,12,0,983,3229,30,0.2,0.1,
,,,,1,59,450,5,-4,2,0,12,0,573,2503,23,0.35,0.1,
,,,,2,61,451,7,2,1,-1,12,0,684,3277,21,0.73,0.1,
,,,,0,58,453,5,-2,1,0,13,1,684,3722,18,0.29,0.1,
,,,,0,55,455,5,0,1,0,13,0,651,3823,17,0,0.1,
,,,,1,55,455,5,0,1,0,13,0,805,3861,21,0.5,0.1,
,,,,1,52,459,5,0,1,0,13,0,927,3234,29,0.22,0,
,,,,0,49,462,5,0,1,0,13,0,847,2958,29,0,0,
,,,,2,52,462,4,-1,1,0,13,0,735,3056,24,0.68,0.1,
,,,,3,53,462,6,2,1,0,13,0,732,3607,20,0.55,0.1,
,,,,1,55,463,8,2,1,0,13,0,1017,3902,26,0.2,0.1,
,,,,10,67,464,9,1,1,0,13,0,1003,3863,26,2.19,0.2,
,,,,5,69,464,9,0,1,0,13,0,937,3366,28,0.64,0.2,
,,,,9,44,497,9,0,1,0,13,0,953,3132,30,1.36,0.2,
,,,,3,45,502,9,0,1,0,13,0,779,2746,28,0.39,0.2,
,,,,5,45,505,10,1,1,0,13,0,766,4060,19,1.04,0.1,
,,,,2,47,506,9,-1,1,0,13,0,1194,4781,25,0.42,0.1,
,,,,8,57,504,8,-1,1,0,13,0,1706,5416,31,0.64,0.1,
,,,,22,76,505,6,-2,1,0,13,0,1650,5604,29,1.58,0,
,,,,12,,,,,,,13,0,1398,5870,24,1.07,0,
,,,,17,106,494,6,,1,,13,0,1792,5491,33,0.95,0.1,
,,,,11,112,498,5,-1,1,0,13,0,1936,4976,39,0.62,0.1,
,,,,17,134,498,6,1,2,1,13,0,1815,5923,31,1.1,0.1,
,,,,23,140,509,7,1,2,0,13,0,2167,6850,32,1.29,0.4,
,,,,19,149,515,9,2,2,0,13,0,2909,8479,34,0.65,0.5,
,,,,13,160,515,10,1,2,0,13,0,1912,6183,31,0.73,0.8,
,,,,9,169,526,10,0,3,1,13,0,2749,7665,36,0.58,0.8,
,,,,19,175,526,8,-2,2,-1,13,0,2770,7459,37,0.83,0.8,
,,,,21,190,529,10,2,2,0,13,0,2825,6365,44,0.71,1.2,
,,,,14,201,533,12,2,2,0,13,0,2873,6969,41,0.63,1.4,
,,,,21,200,556,12,0,2,0,14,1,3115,7821,40,0.83,1.2,
,,,,26,211,569,12,0,2,0,14,0,4246,9100,47,0.68,1.2,
,,,,29,226,583,11,-1,2,0,14,0,3621,7401,49,1.05,0.9,
,,,,23,238,594,9,-2,3,1,14,0,3789,8326,46,0.9,0.9,
,,,,11,236,607,9,0,2,-1,14,0,2142,6894,31,0.47,1,
,,,,26,236,635,12,3,2,0,14,0,2805,6540,43,0.93,0.7,
,,,,27,250,650,13,1,2,0,14,0,2488,6514,38,1.13,0.7,
,,,,10,237,673,16,3,2,0,15,1,2480,6367,39,0.52,0.6,
,,,,22,241,688,13,-3,2,0,15,0,2847,6633,43,0.81,0.7,
,,,,16,228,715,14,1,2,0,15,0,1664,6391,26,1.14,0.8,
,,,,23,242,727,16,2,2,0,15,0,2884,6509,44,0.94,0.8,
,,,,33,257,754,18,2,3,1,15,0,3141,6996,45,1.15,0.8,
,,,,15,246,767,18,0,3,0,15,0,3113,7198,43,0.45,0.7,
,,,,16,,,,,,,15,0,2706,6947,39,0.55,0.5,
,,,,23,233,820,17,,3,,15,0,3109,7675,41,0.84,0.5,
,,,,20,240,833,19,2,4,1,15,0,3657,6735,54,0.63,0.5,
,,,,5,,,,,,,15,0,2051,5958,34,0.34,0.7,
,,,,18,,,,,,,15,0,1849,5546,33,1.03,1.4,
,,,,19,234,879,30,,3,,17,2,2463,5593,44,1.06,1.4,
,,,,28,243,897,30,0,3,0,17,0,3130,6016,52,1.02,1.4,81.4
,,,,18,232,926,29,-1,4,1,17,0,2589,6265,41,0.89,1.7,82.6
,,,,4,215,944,27,-2,4,0,20,3,3098,6964,44,0.36,1.9,82.9
,,,,23,203,980,30,3,6,2,19,-1,3633,7801,47,0.72,1.7,84.5
,,,,14,,,,,,,,,3468,7528,46,0.58,1.6,
,,,,24,,,,,,,,,3889,9995,39,0.62,1,
,,,,12,199,1034,25,,4,,19,,2818,7591,37,0.67,0.8,88.1
,,,,22,198,1055,27,2,4,0,21,2,2106,5801,36,1.09,1.2,89.6
,,,,13,194,1072,30,3,3,-1,21,0,2469,6372,39,0.77,1,90.5
,,,,24,217,1072,29,-1,2,-1,22,1,2967,8211,36,0.98,0.9,92.2
,,,,23,213,1098,28,-1,4,2,23,1,2552,6472,39,1.06,0.9,93.8
,,,,21,,,,,,,,,2595,9710,27,0.89,0.9,
,,,,19,,,,,,,,,2240,6853,33,1.03,0.8,
,,,,17,225,1141,29,,7,,25,,2600,6949,37,0.81,1,97.8
,,,,24,233,1156,29,0,7,0,26,1,2949,7813,38,1.05,0.6,99.5
,,,,25,236,1176,29,0,7,0,28,2,3247,8146,40,0.83,0.6,101.3
,,,,11,232,1190,30,1,7,0,29,1,2313,8222,28,0.52,0.6,102.1
,,,,22,232,1210,28,-2,7,0,31,2,3111,8735,36,0.93,0.6,103.6
,,,,32,,,,,,,,,3446,10582,33,1.16,0.4,
,,,,18,,,,,,,,,2850,9848,29,1.05,0.5,
,,,,34,279,1241,26,,6,,37,,2477,7428,33,1.49,0.4,109.5
,,,,18,276,1260,25,-1,6,0,39,2,2798,7900,35,0.75,0.4,110.8
